order_id,order_time,branch,staff,customer_id,customer_segment,item,qty,gross,discount,net_sales,cost,margin
O01239,2026-02-09 12:12:44.438373,Thonglor,Nok,C0475,at_risk,Cocktail,2,520,0,520,256.29,263.71
O02005,2026-02-09 13:25:44.438373,Thonglor,Nok,C0403,active,Cocktail,2,440,30,410,197.72,212.28
O00585,2026-02-09 14:56:44.438373,Siam,Jane,C0035,at_risk,Classic Burger,1,150,0,150,82.72,67.28
O01242,2026-02-09 14:57:44.438373,Siam,Nok,C0684,active,Cocktail,1,150,0,150,88.38,61.62
O01658,2026-02-09 16:34:44.438373,Siam,Ploy,C0372,active,Signature Latte,1,220,10,210,117.6,92.4
O01747,2026-02-09 18:45:44.438373,Thonglor,Tum,C0403,active,Protein Shake,1,120,10,110,62.42,47.58
O02437,2026-02-09 20:23:44.438373,Siam,Bank,C0066,at_risk,Signature Latte,3,450,0,450,196.41,253.59
O02243,2026-02-09 20:31:44.438373,Siam,Mek,C0557,new,Protein Shake,2,180,20,160,63.18,96.82
O01075,2026-02-09 21:04:44.438373,Siam,Nok,C0647,at_risk,Cocktail,1,90,30,60,23.18,36.82
O00922,2026-02-09 21:47:44.438373,Siam,Tum,C0375,active,Classic Burger,2,240,0,240,146.94,93.06
O01817,2026-02-09 22:19:44.438373,Ari,Tum,C0573,active,Cocktail,1,260,30,230,97.16,132.84
O00091,2026-02-09 22:26:44.438373,Ari,Tum,C0690,active,Set Menu,3,450,20,430,196.49,233.51
O02016,2026-02-09 22:31:44.438373,Ari,Tum,C0420,active,Craft Beer,1,260,0,260,111.68,148.32
O01148,2026-02-09 23:57:44.438373,Ari,Nok,C0032,new,Set Menu,2,240,30,210,126.83,83.17
O00425,2026-02-09 23:58:44.438373,Ari,Jane,C0295,new,Craft Beer,1,220,30,190,103.97,86.03
O02313,2026-02-10 00:02:44.438373,Ari,Tum,C0336,new,Cocktail,1,180,30,150,73.98,76.02
O02029,2026-02-10 00:05:44.438373,Siam,Ploy,C0415,new,Cocktail,1,260,0,260,152.74,107.26
O00398,2026-02-10 01:06:44.438373,Siam,Bank,C0583,active,Craft Beer,1,120,20,100,48.15,51.85
O02262,2026-02-10 01:57:44.438373,Siam,Bank,C0470,active,Set Menu,1,180,0,180,89.2,90.8
O01592,2026-02-10 03:16:44.438373,Thonglor,Bank,C0167,active,Craft Beer,1,150,10,140,60.46,79.54
O02388,2026-02-10 04:08:44.438373,Thonglor,Bank,C0608,at_risk,Signature Latte,2,240,20,220,88.02,131.98
O00117,2026-02-10 04:36:44.438373,Ari,Mek,C0514,at_risk,Set Menu,2,300,30,270,159.39,110.61
O01548,2026-02-10 06:53:44.438373,Thonglor,Nok,C0424,new,Cocktail,1,90,30,60,35.18,24.82
O02378,2026-02-10 08:22:44.438373,Thonglor,Nok,C0539,at_risk,Protein Shake,1,220,20,200,102.36,97.64
O00407,2026-02-10 08:24:44.438373,Siam,Ploy,C0377,active,Craft Beer,1,150,0,150,92.87,57.13
O01177,2026-02-10 08:58:44.438373,Thonglor,Bank,C0151,new,Signature Latte,2,300,10,290,135.95,154.05
O02432,2026-02-10 09:38:44.438373,Siam,Nok,C0498,active,Classic Burger,1,260,10,250,140.44,109.56
O00418,2026-02-10 11:09:44.438373,Siam,Nok,C0213,at_risk,Cocktail,2,360,0,360,169.07,190.93
O00386,2026-02-10 11:28:44.438373,Siam,Ploy,C0198,at_risk,Craft Beer,2,180,0,180,87.79,92.21
O00673,2026-02-10 11:55:44.438373,Siam,Nok,C0200,at_risk,Protein Shake,1,120,20,100,53.08,46.92
O02062,2026-02-10 12:13:44.438373,Siam,Ploy,C0012,active,Craft Beer,1,120,10,110,50.5,59.5
O01028,2026-02-10 12:28:44.438373,Ari,Tum,C0673,new,Set Menu,1,180,20,160,90.34,69.66
O00841,2026-02-10 13:37:44.438373,Siam,Tum,C0129,active,Set Menu,1,90,0,90,47.24,42.76
O00668,2026-02-10 16:10:44.438373,Ari,Bank,C0416,active,Classic Burger,1,220,0,220,128.21,91.79
O00883,2026-02-10 17:14:44.438373,Ari,Ploy,C0320,at_risk,Signature Latte,3,450,20,430,186.04,243.96
O02421,2026-02-10 17:49:44.438373,Thonglor,Nok,C0034,active,Protein Shake,1,90,10,80,45.32,34.68
O01627,2026-02-10 18:46:44.438373,Thonglor,Jane,C0087,active,Protein Shake,2,300,10,290,150.99,139.01
O01417,2026-02-10 18:53:44.438373,Thonglor,Nok,C0230,active,Classic Burger,2,360,0,360,146.02,213.98
O00631,2026-02-10 20:52:44.438373,Ari,Bank,C0209,active,Protein Shake,1,120,0,120,65.44,54.56
O01273,2026-02-10 21:30:44.438373,Ari,Mek,C0584,new,Craft Beer,2,240,10,230,101.73,128.27
O01459,2026-02-10 23:31:44.438373,Siam,Bank,C0253,active,Set Menu,1,260,30,230,119.87,110.13
O01184,2026-02-10 23:36:44.438373,Thonglor,Nok,C0068,at_risk,Cocktail,1,150,0,150,82.55,67.45
O00713,2026-02-11 00:45:44.438373,Ari,Tum,C0117,active,Craft Beer,2,300,10,290,128.35,161.65
O01132,2026-02-11 01:17:44.438373,Thonglor,Bank,C0286,at_risk,Classic Burger,1,180,0,180,97.89,82.11
O01312,2026-02-11 01:32:44.438373,Ari,Bank,C0583,active,Signature Latte,2,520,0,520,303.28,216.72
O00257,2026-02-11 01:49:44.438373,Siam,Jane,C0619,new,Cocktail,2,180,20,160,74.71,85.29
O00233,2026-02-11 04:29:44.438373,Siam,Jane,C0284,active,Craft Beer,2,180,0,180,108.59,71.41
O00305,2026-02-11 06:22:44.438373,Ari,Bank,C0113,new,Craft Beer,2,240,30,210,85.9,124.1
O00018,2026-02-11 06:26:44.438373,Thonglor,Tum,C0672,active,Signature Latte,1,150,0,150,69.15,80.85
O00971,2026-02-11 06:48:44.438373,Siam,Jane,C0248,at_risk,Protein Shake,1,180,0,180,99.74,80.26
O00105,2026-02-11 07:15:44.438373,Thonglor,Tum,C0001,at_risk,Protein Shake,1,90,30,60,36.98,23.02
O00354,2026-02-11 08:24:44.438373,Thonglor,Mek,C0421,active,Set Menu,3,660,0,660,372.79,287.21
O02263,2026-02-11 08:52:44.438373,Thonglor,Mek,C0341,new,Set Menu,2,360,0,360,172.87,187.13
O01932,2026-02-11 09:05:44.438373,Siam,Ploy,C0669,active,Cocktail,2,440,0,440,215.56,224.44
O00520,2026-02-11 10:07:44.438373,Ari,Ploy,C0471,at_risk,Protein Shake,3,360,30,330,190.93,139.07
O01631,2026-02-11 10:13:44.438373,Thonglor,Mek,C0159,active,Craft Beer,3,450,30,420,231.86,188.14
O00767,2026-02-11 10:19:44.438373,Ari,Mek,C0501,active,Signature Latte,3,450,0,450,271.43,178.57
O02148,2026-02-11 11:30:44.438373,Ari,Ploy,C0457,at_risk,Signature Latte,3,270,0,270,108.87,161.13
O01286,2026-02-11 12:08:44.438373,Ari,Nok,C0186,active,Classic Burger,1,220,30,190,73.13,116.87
O02114,2026-02-11 12:12:44.438373,Siam,Bank,C0329,at_risk,Set Menu,1,180,20,160,91.39,68.61
O01022,2026-02-11 14:59:44.438373,Thonglor,Jane,C0502,at_risk,Protein Shake,1,150,0,150,76.79,73.21
O01784,2026-02-11 15:59:44.438373,Siam,Tum,C0135,active,Signature Latte,1,90,0,90,44.79,45.21
O01687,2026-02-11 16:48:44.438373,Thonglor,Ploy,C0622,active,Protein Shake,3,540,30,510,265.05,244.95
O01855,2026-02-11 17:53:44.438373,Siam,Jane,C0116,new,Craft Beer,1,180,20,160,94.51,65.49
O02164,2026-02-11 19:31:44.438373,Thonglor,Mek,C0360,new,Protein Shake,1,90,0,90,54.09,35.91
O00980,2026-02-11 19:33:44.438373,Siam,Jane,C0004,active,Craft Beer,2,180,30,150,73.19,76.81
O00552,2026-02-11 21:11:44.438373,Ari,Tum,C0547,active,Signature Latte,1,260,30,230,106.13,123.87
O00516,2026-02-11 22:04:44.438373,Siam,Jane,C0465,active,Set Menu,3,540,20,520,248.83,271.17
O00109,2026-02-11 23:15:44.438373,Siam,Bank,C0361,new,Cocktail,1,180,0,180,97.06,82.94
O00548,2026-02-12 00:35:44.438373,Thonglor,Ploy,C0052,at_risk,Protein Shake,1,120,20,100,59.55,40.45
O02303,2026-02-12 00:41:44.438373,Ari,Jane,C0145,active,Cocktail,2,360,30,330,170.92,159.08
O01859,2026-02-12 01:35:44.438373,Thonglor,Tum,C0339,new,Signature Latte,2,440,20,420,229.79,190.21
O02288,2026-02-12 01:47:44.438373,Siam,Jane,C0373,at_risk,Classic Burger,1,150,30,120,60.65,59.35
O00373,2026-02-12 02:34:44.438373,Thonglor,Nok,C0058,at_risk,Classic Burger,2,440,10,430,206.29,223.71
O01394,2026-02-12 03:26:44.438373,Ari,Jane,C0273,new,Set Menu,3,360,30,330,147.84,182.16
O01639,2026-02-12 03:33:44.438373,Thonglor,Bank,C0313,new,Set Menu,1,120,30,90,49.18,40.82
O02103,2026-02-12 03:35:44.438373,Ari,Nok,C0509,active,Set Menu,2,240,20,220,122.38,97.62
O01232,2026-02-12 04:37:44.438373,Ari,Tum,C0386,new,Cocktail,2,440,20,420,224.82,195.18
O01711,2026-02-12 06:09:44.438373,Thonglor,Mek,C0539,new,Signature Latte,3,780,10,770,320.01,449.99
O00042,2026-02-12 07:15:44.438373,Ari,Jane,C0247,new,Craft Beer,1,220,30,190,101.31,88.69
O02004,2026-02-12 07:17:44.438373,Siam,Nok,C0052,active,Set Menu,1,150,10,140,69.95,70.05
O01950,2026-02-12 07:57:44.438373,Siam,Bank,C0599,new,Classic Burger,2,180,0,180,89.46,90.54
O02154,2026-02-12 08:19:44.438373,Siam,Bank,C0057,active,Cocktail,1,90,0,90,52.84,37.16
O00707,2026-02-12 11:33:44.438373,Siam,Tum,C0325,at_risk,Signature Latte,1,180,0,180,80.92,99.08
O00421,2026-02-12 11:58:44.438373,Ari,Tum,C0289,active,Cocktail,2,240,30,210,116.71,93.29
O00809,2026-02-12 13:27:44.438373,Thonglor,Ploy,C0367,active,Classic Burger,1,180,0,180,93.39,86.61
O00851,2026-02-12 13:40:44.438373,Ari,Jane,C0118,active,Signature Latte,3,660,20,640,297.91,342.09
O02325,2026-02-12 13:40:44.438373,Thonglor,Jane,C0666,active,Cocktail,1,90,30,60,24.73,35.27
O01597,2026-02-12 14:14:44.438373,Ari,Mek,C0343,new,Craft Beer,2,240,20,220,97.99,122.01
O02196,2026-02-12 15:00:44.438373,Thonglor,Nok,C0236,active,Cocktail,2,440,0,440,269.87,170.13
O00067,2026-02-12 15:11:44.438373,Thonglor,Mek,C0251,new,Signature Latte,1,220,0,220,105.68,114.32
O01688,2026-02-12 15:15:44.438373,Siam,Nok,C0567,active,Signature Latte,1,180,0,180,77.08,102.92
O00216,2026-02-12 16:20:44.438373,Siam,Nok,C0449,active,Classic Burger,1,220,0,220,103.71,116.29
O00036,2026-02-12 16:39:44.438373,Thonglor,Mek,C0036,at_risk,Signature Latte,1,150,0,150,88.21,61.79
O02266,2026-02-12 17:12:44.438373,Thonglor,Bank,C0349,new,Protein Shake,1,150,20,130,60.63,69.37
O01514,2026-02-12 17:18:44.438373,Thonglor,Ploy,C0257,at_risk,Craft Beer,1,150,30,120,46.42,73.58
O00493,2026-02-12 18:16:44.438373,Thonglor,Jane,C0438,active,Cocktail,2,360,20,340,200.45,139.55
O00199,2026-02-12 20:10:44.438373,Thonglor,Bank,C0291,active,Craft Beer,2,440,20,420,227.15,192.85
O00308,2026-02-12 20:29:44.438373,Ari,Ploy,C0311,active,Craft Beer,3,360,0,360,196.84,163.16
O01107,2026-02-12 20:48:44.438373,Siam,Bank,C0317,active,Set Menu,1,150,0,150,77.77,72.23
O02214,2026-02-12 21:26:44.438373,Ari,Jane,C0448,at_risk,Cocktail,1,220,0,220,131.36,88.64
O00562,2026-02-12 21:27:44.438373,Thonglor,Bank,C0541,active,Cocktail,2,360,10,350,161.72,188.28
O00994,2026-02-12 23:30:44.438373,Siam,Jane,C0266,at_risk,Set Menu,1,260,0,260,140.68,119.32
O01798,2026-02-12 23:47:44.438373,Siam,Ploy,C0640,active,Protein Shake,2,180,10,170,73.94,96.06
O00854,2026-02-13 00:14:44.438373,Siam,Nok,C0384,new,Protein Shake,1,220,0,220,98.75,121.25
O01463,2026-02-13 00:23:44.438373,Siam,Bank,C0519,at_risk,Cocktail,2,300,30,270,130.87,139.13
O01469,2026-02-13 02:23:44.438373,Siam,Ploy,C0529,at_risk,Cocktail,2,440,0,440,267.01,172.99
O00283,2026-02-13 02:54:44.438373,Siam,Nok,C0272,new,Protein Shake,2,360,10,350,203.87,146.13
O02392,2026-02-13 03:36:44.438373,Thonglor,Ploy,C0143,active,Set Menu,3,270,0,270,118.28,151.72
O00295,2026-02-13 05:39:44.438373,Siam,Tum,C0232,at_risk,Cocktail,2,520,0,520,240.13,279.87
O01657,2026-02-13 05:48:44.438373,Ari,Jane,C0049,new,Cocktail,3,450,10,440,240.18,199.82
O01193,2026-02-13 06:53:44.438373,Ari,Tum,C0667,at_risk,Cocktail,2,360,20,340,198.0,142.0
O00770,2026-02-13 08:27:44.438373,Ari,Mek,C0524,new,Craft Beer,2,440,0,440,238.31,201.69
O01224,2026-02-13 09:58:44.438373,Ari,Bank,C0304,new,Cocktail,1,260,0,260,115.22,144.78
O00850,2026-02-13 10:19:44.438373,Thonglor,Nok,C0598,active,Craft Beer,1,90,30,60,26.88,33.12
O02255,2026-02-13 11:16:44.438373,Thonglor,Jane,C0316,new,Cocktail,1,150,20,130,72.91,57.09
O00681,2026-02-13 12:35:44.438373,Siam,Jane,C0044,active,Cocktail,1,90,0,90,44.58,45.42
O01530,2026-02-13 12:46:44.438373,Thonglor,Nok,C0350,active,Cocktail,2,300,0,300,162.47,137.53
O01090,2026-02-13 13:23:44.438373,Siam,Bank,C0680,active,Set Menu,1,150,20,130,54.88,75.12
O01289,2026-02-13 16:33:44.438373,Ari,Tum,C0410,active,Craft Beer,3,360,20,340,167.58,172.42
O01307,2026-02-13 16:46:44.438373,Ari,Bank,C0288,active,Signature Latte,1,180,10,170,69.0,101.0
O02256,2026-02-13 18:22:44.438373,Siam,Bank,C0638,at_risk,Protein Shake,1,90,10,80,32.52,47.48
O00491,2026-02-13 18:25:44.438373,Siam,Jane,C0311,active,Protein Shake,1,150,30,120,68.06,51.94
O00294,2026-02-13 18:46:44.438373,Siam,Nok,C0008,active,Classic Burger,2,180,20,160,94.15,65.85
O02394,2026-02-13 20:02:44.438373,Siam,Mek,C0532,at_risk,Classic Burger,2,300,10,290,176.26,113.74
O01308,2026-02-13 20:08:44.438373,Siam,Nok,C0561,active,Craft Beer,3,540,0,540,259.15,280.85
O00533,2026-02-13 20:10:44.438373,Siam,Jane,C0622,new,Craft Beer,2,440,20,420,176.32,243.68
O02037,2026-02-13 21:07:44.438373,Ari,Mek,C0111,active,Cocktail,2,240,0,240,115.86,124.14
O00136,2026-02-13 22:02:44.438373,Siam,Ploy,C0170,at_risk,Protein Shake,1,90,30,60,31.67,28.33
O02198,2026-02-14 00:57:44.438373,Ari,Jane,C0515,at_risk,Craft Beer,2,520,20,500,279.27,220.73
O01844,2026-02-14 07:02:44.438373,Thonglor,Mek,C0512,new,Protein Shake,1,220,0,220,102.07,117.93
O01661,2026-02-14 07:07:44.438373,Ari,Nok,C0110,active,Signature Latte,2,180,10,170,81.5,88.5
O02234,2026-02-14 08:02:44.438373,Siam,Ploy,C0525,active,Classic Burger,1,220,10,210,115.23,94.77
O00706,2026-02-14 08:15:44.438373,Siam,Jane,C0688,active,Set Menu,1,150,0,150,61.28,88.72
O01785,2026-02-14 08:33:44.438373,Thonglor,Mek,C0017,new,Classic Burger,1,120,10,110,63.0,47.0
O02172,2026-02-14 10:26:44.438373,Thonglor,Nok,C0394,at_risk,Protein Shake,1,150,0,150,64.38,85.62
O01445,2026-02-14 11:40:44.438373,Ari,Mek,C0087,at_risk,Classic Burger,2,440,0,440,194.23,245.77
O00658,2026-02-14 12:31:44.438373,Siam,Tum,C0057,active,Signature Latte,3,450,0,450,243.66,206.34
O00825,2026-02-14 14:14:44.438373,Ari,Bank,C0655,new,Signature Latte,2,180,0,180,88.7,91.3
O00094,2026-02-14 14:45:44.438373,Siam,Tum,C0572,at_risk,Protein Shake,1,90,0,90,38.11,51.89
O01053,2026-02-14 16:14:44.438373,Thonglor,Bank,C0403,new,Signature Latte,3,780,20,760,339.96,420.04
O00024,2026-02-14 16:38:44.438373,Thonglor,Mek,C0151,active,Craft Beer,1,120,0,120,65.06,54.94
O00081,2026-02-14 17:15:44.438373,Siam,Ploy,C0007,active,Cocktail,1,180,0,180,100.69,79.31
O00288,2026-02-14 18:25:44.438373,Siam,Nok,C0083,at_risk,Protein Shake,1,90,0,90,55.07,34.93
O01446,2026-02-14 18:54:44.438373,Siam,Nok,C0172,new,Signature Latte,3,780,30,750,396.61,353.39
O00195,2026-02-14 20:45:44.438373,Ari,Tum,C0003,active,Craft Beer,1,150,20,130,49.86,80.14
O01343,2026-02-14 23:55:44.438373,Siam,Nok,C0540,active,Cocktail,1,150,0,150,57.08,92.92
O01584,2026-02-15 00:23:44.438373,Ari,Tum,C0562,new,Craft Beer,1,150,10,140,82.16,57.84
O00576,2026-02-15 01:08:44.438373,Siam,Ploy,C0663,new,Protein Shake,2,240,30,210,91.12,118.88
O02393,2026-02-15 02:18:44.438373,Siam,Bank,C0133,at_risk,Cocktail,2,360,30,330,127.94,202.06
O00498,2026-02-15 02:33:44.438373,Ari,Mek,C0005,active,Cocktail,3,660,0,660,359.12,300.88
O01491,2026-02-15 04:26:44.438373,Siam,Mek,C0533,at_risk,Craft Beer,2,440,0,440,266.5,173.5
O01267,2026-02-15 04:54:44.438373,Thonglor,Ploy,C0267,at_risk,Cocktail,1,90,20,70,37.64,32.36
O00863,2026-02-15 07:45:44.438373,Siam,Tum,C0606,new,Protein Shake,1,120,20,100,48.03,51.97
O01032,2026-02-15 08:36:44.438373,Siam,Tum,C0541,active,Craft Beer,2,440,20,420,162.72,257.28
O01774,2026-02-15 09:16:44.438373,Thonglor,Tum,C0106,active,Cocktail,1,90,20,70,32.71,37.29
O00279,2026-02-15 10:30:44.438373,Thonglor,Tum,C0645,at_risk,Classic Burger,1,90,20,70,38.69,31.31
O01630,2026-02-15 10:58:44.438373,Thonglor,Tum,C0259,new,Set Menu,1,220,0,220,103.73,116.27
O01484,2026-02-15 11:58:44.438373,Thonglor,Ploy,C0342,active,Craft Beer,1,90,0,90,41.38,48.62
O02385,2026-02-15 12:07:44.438373,Thonglor,Ploy,C0054,new,Set Menu,2,240,20,220,84.29,135.71
O01946,2026-02-15 12:08:44.438373,Thonglor,Ploy,C0227,new,Set Menu,3,270,0,270,159.48,110.52
O02277,2026-02-15 12:53:44.438373,Ari,Jane,C0526,new,Classic Burger,3,450,20,430,229.55,200.45
O01896,2026-02-15 13:07:44.438373,Siam,Nok,C0245,at_risk,Craft Beer,2,440,0,440,200.34,239.66
O01238,2026-02-15 14:20:44.438373,Siam,Bank,C0684,new,Classic Burger,1,150,30,120,50.98,69.02
O01841,2026-02-15 15:18:44.438373,Thonglor,Ploy,C0111,new,Cocktail,3,360,10,350,136.89,213.11
O01988,2026-02-15 15:18:44.438373,Thonglor,Tum,C0238,at_risk,Set Menu,3,270,10,260,99.46,160.54
O00966,2026-02-15 15:51:44.438373,Siam,Ploy,C0471,active,Classic Burger,2,180,0,180,96.25,83.75
O01947,2026-02-15 16:32:44.438373,Ari,Bank,C0427,active,Classic Burger,3,450,30,420,166.24,253.76
O00832,2026-02-15 17:08:44.438373,Thonglor,Tum,C0634,at_risk,Classic Burger,1,180,0,180,100.16,79.84
O00981,2026-02-15 18:05:44.438373,Thonglor,Jane,C0268,active,Signature Latte,3,450,30,420,171.03,248.97
O00615,2026-02-15 20:23:44.438373,Siam,Mek,C0472,new,Set Menu,1,180,20,160,98.98,61.02
O00408,2026-02-15 22:09:44.438373,Thonglor,Nok,C0366,active,Craft Beer,2,180,30,150,88.59,61.41
O01110,2026-02-15 23:08:44.438373,Siam,Bank,C0027,active,Signature Latte,3,360,20,340,175.14,164.86
O01185,2026-02-15 23:45:44.438373,Ari,Mek,C0304,active,Craft Beer,1,260,20,240,123.01,116.99
O02245,2026-02-15 23:53:44.438373,Siam,Tum,C0579,new,Set Menu,1,260,0,260,135.29,124.71
O01372,2026-02-16 00:57:44.438373,Ari,Nok,C0201,at_risk,Protein Shake,3,780,20,760,402.95,357.05
O02177,2026-02-16 02:01:44.438373,Siam,Ploy,C0628,active,Cocktail,2,180,10,170,94.11,75.89
O01326,2026-02-16 02:01:44.438373,Ari,Nok,C0391,active,Set Menu,2,360,10,350,162.15,187.85
O00742,2026-02-16 02:55:44.438373,Ari,Ploy,C0112,at_risk,Classic Burger,2,360,20,340,171.7,168.3
O00414,2026-02-16 03:09:44.438373,Ari,Jane,C0088,at_risk,Signature Latte,1,120,0,120,51.39,68.61
O01929,2026-02-16 03:27:44.438373,Siam,Bank,C0001,active,Craft Beer,2,440,20,420,173.43,246.57
O00827,2026-02-16 04:58:44.438373,Siam,Ploy,C0371,active,Cocktail,2,240,10,230,93.26,136.74
O01599,2026-02-16 05:10:44.438373,Ari,Nok,C0672,new,Set Menu,2,300,0,300,161.66,138.34
O02441,2026-02-16 06:11:44.438373,Siam,Nok,C0385,active,Classic Burger,1,180,10,170,71.17,98.83
O01544,2026-02-16 06:43:44.438373,Thonglor,Jane,C0304,active,Craft Beer,2,520,20,500,292.79,207.21
O01157,2026-02-16 07:03:44.438373,Ari,Jane,C0147,new,Signature Latte,3,270,0,270,165.76,104.24
O01322,2026-02-16 07:13:44.438373,Thonglor,Tum,C0303,new,Craft Beer,1,150,30,120,63.73,56.27
O02128,2026-02-16 07:22:44.438373,Thonglor,Mek,C0685,active,Set Menu,1,90,20,70,33.43,36.57
O00820,2026-02-16 07:35:44.438373,Siam,Tum,C0392,new,Signature Latte,3,450,0,450,209.88,240.12
O01713,2026-02-16 07:41:44.438373,Thonglor,Bank,C0408,active,Classic Burger,2,440,0,440,249.98,190.02
O00297,2026-02-16 08:51:44.438373,Thonglor,Tum,C0262,at_risk,Craft Beer,2,240,0,240,118.44,121.56
O00747,2026-02-16 09:08:44.438373,Siam,Ploy,C0229,at_risk,Classic Burger,1,150,20,130,57.98,72.02
O02224,2026-02-16 09:35:44.438373,Ari,Nok,C0218,active,Craft Beer,1,220,10,210,110.8,99.2
O02459,2026-02-16 11:11:44.438373,Thonglor,Ploy,C0088,new,Set Menu,2,180,0,180,85.2,94.8
O00930,2026-02-16 11:32:44.438373,Siam,Tum,C0186,active,Set Menu,1,90,10,80,42.38,37.62
O00990,2026-02-16 12:10:44.438373,Siam,Ploy,C0197,active,Cocktail,1,180,30,150,78.72,71.28
O02247,2026-02-16 13:35:44.438373,Thonglor,Bank,C0006,at_risk,Set Menu,1,180,20,160,74.18,85.82
O00643,2026-02-16 13:55:44.438373,Ari,Nok,C0538,new,Classic Burger,2,180,10,170,69.2,100.8
O01958,2026-02-16 13:57:44.438373,Thonglor,Jane,C0054,new,Protein Shake,3,780,0,780,301.83,478.17
O00918,2026-02-16 14:13:44.438373,Siam,Nok,C0328,active,Classic Burger,1,120,0,120,50.06,69.94
O01714,2026-02-16 14:45:44.438373,Thonglor,Jane,C0542,new,Craft Beer,1,120,20,100,45.47,54.53
O00984,2026-02-16 16:06:44.438373,Ari,Mek,C0637,active,Signature Latte,1,90,10,80,40.66,39.34
O00826,2026-02-16 16:17:44.438373,Thonglor,Tum,C0665,new,Set Menu,1,180,30,150,69.18,80.82
O01448,2026-02-16 16:42:44.438373,Siam,Bank,C0202,active,Cocktail,2,180,20,160,70.48,89.52
O01344,2026-02-16 18:21:44.438373,Ari,Bank,C0559,active,Craft Beer,2,440,20,420,257.44,162.56
O00933,2026-02-16 18:30:44.438373,Siam,Ploy,C0539,active,Cocktail,1,120,0,120,49.77,70.23
O02182,2026-02-16 19:19:44.438373,Ari,Tum,C0209,active,Protein Shake,2,520,30,490,281.03,208.97
O01154,2026-02-16 19:39:44.438373,Siam,Nok,C0200,active,Set Menu,1,150,20,130,49.7,80.3
O00568,2026-02-16 20:19:44.438373,Thonglor,Mek,C0340,active,Protein Shake,2,520,30,490,298.2,191.8
O01077,2026-02-16 21:03:44.438373,Thonglor,Mek,C0680,active,Craft Beer,2,360,30,330,166.65,163.35
O01259,2026-02-16 22:57:44.438373,Thonglor,Jane,C0628,at_risk,Protein Shake,1,150,0,150,86.13,63.87
O01254,2026-02-16 23:49:44.438373,Siam,Bank,C0470,at_risk,Protein Shake,3,270,0,270,105.68,164.32
O01730,2026-02-17 01:22:44.438373,Siam,Mek,C0568,active,Craft Beer,2,180,0,180,97.61,82.39
